Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2016/2017,WY,Volleyball,0,68,0,1821
2015/2016,AL,Volleyball,0,384,0,9348
2015/2016,AK,Volleyball,1,39,6,1201
2015/2016,AZ,Volleyball,75,257,1807,8071
2015/2016,AR,Volleyball,0,125,0,2883
2015/2016,CA,Volleyball,759,1426,18187,43455
2015/2016,CO,Volleyball,0,329,0,9576
2015/2016,CT,Volleyball,47,170,839,4872
2015/2016,DC,Volleyball,0,36,0,681
2015/2016,DE,Volleyball,8,55,126,1490
2015/2016,FL,Volleyball,159,635,2591,17423
2015/2016,GA,Volleyball,0,329,0,7891
2015/2016,HI,Volleyball,63,70,1530,2034
2015/2016,ID,Volleyball,0,147,0,3541
2015/2016,IL,Volleyball,199,697,6824,22231
2015/2016,IN,Volleyball,0,398,0,9417
2015/2016,IA,Volleyball,0,361,0,11669
2015/2016,KS,Volleyball,0,349,0,8956
2015/2016,KY,Volleyball,0,259,0,6366
2015/2016,LA,Volleyball,0,206,0,4785
2015/2016,ME,Volleyball,6,38,49,812
2015/2016,MD,Volleyball,34,183,652,5059
2015/2016,MA,Volleyball,109,295,2539,9600
2015/2016,MI,Volleyball,0,708,0,19395
2015/2016,MN,Volleyball,0,463,0,16222
2015/2016,MS,Volleyball,0,92,0,2265
2015/2016,MO,Volleyball,41,434,1185,10476
2015/2016,MT,Volleyball,0,165,0,3490
2015/2016,NE,Volleyball,0,301,0,7104
2015/2016,NV,Volleyball,33,102,1144,2939
2015/2016,NH,Volleyball,14,60,300,1602
2015/2016,NJ,Volleyball,135,284,3811,9154
2015/2016,NM,Volleyball,0,150,0,4014
2015/2016,NY,Volleyball,173,634,3888,15137
2015/2016,NC,Volleyball,0,402,0,9337
2015/2016,ND,Volleyball,0,154,0,3213
2015/2016,OH,Volleyball,111,709,2658,17960
2015/2016,OK,Volleyball,0,125,0,3422
2015/2016,OR,Volleyball,0,272,0,6859
2015/2016,PA,Volleyball,213,581,3834,10458
2015/2016,RI,Volleyball,28,42,591,1081
2015/2016,SC,Volleyball,0,203,0,5020
2015/2016,SD,Volleyball,0,168,0,3498
2015/2016,TN,Volleyball,0,334,0,6354
2015/2016,TX,Volleyball,0,1103,0,45562
2015/2016,UT,Volleyball,0,129,0,3354
2015/2016,VT,Volleyball,3,7,33,113
2015/2016,VA,Volleyball,68,309,1208,8033
2015/2016,WA,Volleyball,0,389,0,9627
2015/2016,WV,Volleyball,0,108,0,2390
2015/2016,WI,Volleyball,54,471,1615,15046
2015/2016,WY,Volleyball,0,68,0,1823
2014/2015,AL,Volleyball,0,378,0,9202
2014/2015,AK,Volleyball,40,40,288,2024
2014/2015,AZ,Volleyball,67,252,1751,7907
2014/2015,AR,Volleyball,0,123,0,2545
2014/2015,CA,Volleyball,676,1357,16552,41734
2014/2015,CO,Volleyball,0,318,0,9097
2014/2015,CT,Volleyball,43,164,896,4763
2014/2015,DC,Volleyball,0,0,0,572
2014/2015,DE,Volleyball,8,53,143,1585
2014/2015,FL,Volleyball,129,641,2349,14718
2014/2015,GA,Volleyball,0,327,0,7730
2014/2015,HI,Volleyball,63,67,1387,1890
2014/2015,ID,Volleyball,0,148,0,3601
2014/2015,IL,Volleyball,187,690,6598,21939
2014/2015,IN,Volleyball,0,397,0,9551
2014/2015,IA,Volleyball,0,363,0,11482
2014/2015,KS,Volleyball,0,348,0,8749
2014/2015,KY,Volleyball,0,258,0,5871
2014/2015,LA,Volleyball,0,208,0,4341
2014/2015,ME,Volleyball,9,35,101,785
2014/2015,MD,Volleyball,35,189,623,5281
2014/2015,MA,Volleyball,105,290,2448,9449
2014/2015,MI,Volleyball,66,646,1605,17996
2014/2015,MN,Volleyball,0,463,0,16242
2014/2015,MS,Volleyball,0,110,0,2490
2014/2015,MO,Volleyball,41,432,1137,10290
2014/2015,MT,Volleyball,0,171,0,3629
2014/2015,NE,Volleyball,0,303,0,7063
2014/2015,NV,Volleyball,31,105,1058,2948
2014/2015,NH,Volleyball,14,60,302,1617
2014/2015,NJ,Volleyball,115,278,3169,8765
2014/2015,NM,Volleyball,159,159,4,4197
2014/2015,NY,Volleyball,183,631,4092,15788
2014/2015,NC,Volleyball,0,398,0,9287
2014/2015,ND,Volleyball,0,155,0,3067
2014/2015,OH,Volleyball,111,709,2658,17960
2014/2015,OK,Volleyball,0,95,0,6485
2014/2015,OR,Volleyball,0,285,0,7001
2014/2015,PA,Volleyball,206,579,3708,10422
2014/2015,RI,Volleyball,28,43,648,1041
2014/2015,SC,Volleyball,0,204,0,4820
2014/2015,SD,Volleyball,0,168,0,3514
2014/2015,TN,Volleyball,0,322,0,6231
2014/2015,TX,Volleyball,0,1103,0,45486
2014/2015,UT,Volleyball,0,126,0,3126
2014/2015,VT,Volleyball,3,7,33,113
2014/2015,VA,Volleyball,70,305,1185,7849
2014/2015,WA,Volleyball,0,371,0,10593
2014/2015,WV,Volleyball,0,120,0,2405
2014/2015,WI,Volleyball,53,472,1683,15141
2014/2015,WY,Volleyball,0,68,0,1794
2013/2014,AL,Volleyball,0,371,0,5572
2013/2014,AK,Volleyball,100,148,274,1994
2013/2014,AZ,Volleyball,65,250,1680,8056
2013/2014,AR,Volleyball,0,117,0,2437
2013/2014,CA,Volleyball,664,1328,16242,40753
2013/2014,CO,Volleyball,0,329,0,9234
2013/2014,CT,Volleyball,41,157,885,4544
2013/2014,DC,Volleyball,0,12,0,388
2013/2014,DE,Volleyball,6,49,124,1459
2013/2014,FL,Volleyball,153,646,2259,14839
2013/2014,GA,Volleyball,0,318,0,7555
2013/2014,HI,Volleyball,64,68,1238,1818
2013/2014,ID,Volleyball,0,145,0,3550
2013/2014,IL,Volleyball,189,700,6541,21723
2013/2014,IN,Volleyball,0,402,0,9672
2013/2014,IA,Volleyball,0,366,0,11600
2013/2014,KS,Volleyball,0,347,0,8773
2013/2014,KY,Volleyball,0,259,0,6125
2013/2014,LA,Volleyball,0,206,0,4277
2013/2014,ME,Volleyball,0,33,0,743
2013/2014,MD,Volleyball,38,186,591,4933
2013/2014,MA,Volleyball,105,287,2474,8529
2013/2014,MI,Volleyball,0,662,0,18607
2013/2014,MN,Volleyball,0,458,0,16102
2013/2014,MS,Volleyball,0,90,0,2248
2013/2014,MO,Volleyball,41,430,1126,10404
2013/2014,MT,Volleyball,0,170,0,3570
2013/2014,NE,Volleyball,0,306,0,7111
2013/2014,NV,Volleyball,32,101,928,2886
2013/2014,NH,Volleyball,15,60,264,1629
2013/2014,NJ,Volleyball,114,277,3460,8962
2013/2014,NM,Volleyball,0,154,0,4190
2013/2014,NY,Volleyball,183,631,4092,15788
2013/2014,NC,Volleyball,0,399,0,9156
2013/2014,ND,Volleyball,0,155,0,3215
2013/2014,OH,Volleyball,112,794,2750,18889
2013/2014,OK,Volleyball,0,95,0,6485
2013/2014,OR,Volleyball,0,284,0,7100
2013/2014,PA,Volleyball,207,579,3726,10422
2013/2014,RI,Volleyball,28,43,630,1080
2013/2014,SC,Volleyball,0,198,0,4953
2013/2014,SD,Volleyball,0,163,0,3631
2013/2014,TN,Volleyball,0,319,0,6361
2013/2014,TX,Volleyball,0,1097,0,46954
2013/2014,UT,Volleyball,0,126,0,3091
2013/2014,VT,Volleyball,5,7,55,107
2013/2014,VA,Volleyball,72,304,1237,7885
2013/2014,WA,Volleyball,0,376,0,10924
2013/2014,WV,Volleyball,0,130,0,2343
2013/2014,WI,Volleyball,51,473,1573,15191
2013/2014,WY,Volleyball,0,67,0,1776
2012/2013,AL,Volleyball,0,364,0,5470
2012/2013,AK,Volleyball,120,120,240,1944
2012/2013,AZ,Volleyball,60,242,1565,8115
2012/2013,AR,Volleyball,0,104,0,2032
2012/2013,CA,Volleyball,655,1316,15926,40271
2012/2013,CO,Volleyball,0,329,0,9482
2012/2013,CT,Volleyball,41,157,858,4590
2012/2013,DC,Volleyball,0,12,0,148
2012/2013,DE,Volleyball,6,49,124,1459
2012/2013,FL,Volleyball,156,645,2117,13715
2012/2013,GA,Volleyball,0,312,0,7370
2012/2013,HI,Volleyball,64,68,1009,1616
2012/2013,ID,Volleyball,0,146,0,3598
2012/2013,IL,Volleyball,180,694,6227,22329
2012/2013,IN,Volleyball,0,396,0,9704
2012/2013,IA,Volleyball,0,374,0,12266
2012/2013,KS,Volleyball,0,344,0,8617
2012/2013,KY,Volleyball,0,257,0,6260
2012/2013,LA,Volleyball,0,200,0,4100
2012/2013,ME,Volleyball,0,32,0,719
2012/2013,MD,Volleyball,34,190,661,5410
2012/2013,MA,Volleyball,102,279,2327,8162
2012/2013,MI,Volleyball,0,706,0,19905
2012/2013,MN,Volleyball,0,453,0,15124
2012/2013,MS,Volleyball,0,82,0,2088
2012/2013,MO,Volleyball,40,429,1185,10363
2012/2013,MT,Volleyball,0,173,0,3629
2012/2013,NE,Volleyball,0,307,0,6977
2012/2013,NV,Volleyball,32,101,1047,2921
2012/2013,NH,Volleyball,15,60,274,1590
2012/2013,NJ,Volleyball,103,267,2975,8143
2012/2013,NM,Volleyball,0,153,0,4001
2012/2013,NY,Volleyball,183,631,4092,15788
2012/2013,NC,Volleyball,0,391,0,8972
2012/2013,ND,Volleyball,0,159,0,3171
2012/2013,OH,Volleyball,110,801,2665,18899
2012/2013,OK,Volleyball,0,90,0,3357
2012/2013,OR,Volleyball,0,278,0,7131
2012/2013,PA,Volleyball,208,576,3744,10368
2012/2013,RI,Volleyball,27,41,573,1044
2012/2013,SC,Volleyball,0,198,0,4884
2012/2013,SD,Volleyball,0,163,0,3631
2012/2013,TN,Volleyball,0,314,0,6171
2012/2013,TX,Volleyball,0,1096,0,44045
2012/2013,UT,Volleyball,0,127,0,2955
2012/2013,VT,Volleyball,1,1,6,12
2012/2013,VA,Volleyball,69,300,1272,7692
2012/2013,WA,Volleyball,0,378,0,10412
2012/2013,WV,Volleyball,0,119,0,2273
2012/2013,WI,Volleyball,51,475,1466,15481
2012/2013,WY,Volleyball,0,66,0,1804
2011/2012,AL,Volleyball,0,363,0,5445
2011/2012,AK,Volleyball,50,50,4,1475
2011/2012,AZ,Volleyball,63,232,1551,7486
2011/2012,AR,Volleyball,0,129,0,2709
2011/2012,CA,Volleyball,662,1337,15887,40507
2011/2012,CO,Volleyball,0,330,0,9463
2011/2012,CT,Volleyball,39,156,862,4497
2011/2012,DC,Volleyball,0,12,0,148
2011/2012,DE,Volleyball,6,49,130,1450
2011/2012,FL,Volleyball,139,652,2107,14435
2011/2012,GA,Volleyball,1,305,1,7115
2011/2012,HI,Volleyball,64,68,1319,1925
2011/2012,ID,Volleyball,0,149,0,3743
2011/2012,IL,Volleyball,178,694,6360,22492
2011/2012,IN,Volleyball,0,396,0,9981
2011/2012,IA,Volleyball,0,372,0,12281
2011/2012,KS,Volleyball,0,344,0,8617
2011/2012,KY,Volleyball,0,255,0,6147
2011/2012,LA,Volleyball,0,195,0,4083
2011/2012,ME,Volleyball,9,32,108,642
2011/2012,MD,Volleyball,43,190,610,4927
2011/2012,MA,Volleyball,101,276,2211,8129
2011/2012,MI,Volleyball,0,710,0,20408
2011/2012,MN,Volleyball,0,452,0,14805
2011/2012,MS,Volleyball,0,82,0,2088
2011/2012,MO,Volleyball,40,429,1158,10345
2011/2012,MT,Volleyball,0,173,0,3650
2011/2012,NE,Volleyball,0,305,0,7034
2011/2012,NV,Volleyball,32,101,995,2919
2011/2012,NH,Volleyball,14,59,249,1584
2011/2012,NJ,Volleyball,101,256,2440,6904
2011/2012,NM,Volleyball,0,152,0,3725
2011/2012,NY,Volleyball,183,631,4092,15788
2011/2012,NC,Volleyball,0,388,0,8843
2011/2012,ND,Volleyball,0,158,0,3253
2011/2012,OH,Volleyball,110,801,2665,18899
2011/2012,OK,Volleyball,0,121,0,2904
2011/2012,OR,Volleyball,0,272,0,7050
2011/2012,PA,Volleyball,199,584,3582,10512
2011/2012,RI,Volleyball,27,40,544,961
2011/2012,SC,Volleyball,0,197,0,4733
2011/2012,SD,Volleyball,0,163,0,3631
2011/2012,TN,Volleyball,0,316,0,6119
2011/2012,TX,Volleyball,0,1138,0,44513
2011/2012,UT,Volleyball,0,129,0,2951
2011/2012,VT,Volleyball,2,2,17,22
2011/2012,VA,Volleyball,67,301,1210,7750
2011/2012,WA,Volleyball,0,361,0,10398
2011/2012,WV,Volleyball,0,117,0,2266
2011/2012,WI,Volleyball,50,477,1365,15328
2011/2012,WY,Volleyball,0,68,0,1823
2010/2011,AL,Volleyball,0,360,0,5578
2010/2011,AK,Volleyball,0,62,0,1471
2010/2011,AZ,Volleyball,53,238,1556,7276
2010/2011,AR,Volleyball,0,139,0,2979
2010/2011,CA,Volleyball,647,1295,16087,39122
2010/2011,CO,Volleyball,0,319,0,9328
2010/2011,CT,Volleyball,40,154,864,4436
2010/2011,DC,Volleyball,0,12,0,148
2010/2011,DE,Volleyball,6,49,125,1401
2010/2011,FL,Volleyball,118,604,1978,13070
2010/2011,GA,Volleyball,2,280,13,6613
